lb,ub,gm,dlogD
94.24989754,105.7501025,100,0.05
105.7501025,118.6498975,112.2,0.05
118.6498975,133.1501025,125.9,0.05
133.1501025,149.4498975,141.3,0.05
149.4498975,167.5501025,158.5,0.05
167.5501025,188.0498975,177.8,0.05
188.0498975,210.9501025,199.5,0.05
210.9501025,236.8498975,223.9,0.05
236.8498975,265.5501025,251.2,0.05
265.5501025,298.0498975,281.8,0.05
298.0498975,334.3501025,316.2,0.05
334.3501025,375.2498975,354.8,0.05
375.2498975,420.9501025,398.1,0.05
420.9501025,472.4498975,446.7,0.05
472.4498975,529.9501025,501.2,0.05
529.9501025,594.6498975,562.3,0.05
594.6498975,667.3501025,631,0.05
667.3501025,748.4498975,707.9,0.05
748.4498975,840.1501025,794.3,0.05
840.1501025,942.4498975,891.3,0.05
885.376733,1114.623267,1000,0.1
1114.623267,1403.176733,1258.9,0.1
1403.176733,1766.623267,1584.9,0.1
1766.623267,2223.976733,1995.3,0.1
2223.976733,2799.823267,2511.9,0.1
2799.823267,3524.776733,3162.3,0.1
