 Lower Bounds, Upper Bounds, Mid points,dlogD
93.9,106.1,100,0.05
106.1,119,112.2,0.05
119,133.6,125.9,0.05
133.6,149.9,141.3,0.05
149.9,168.2,158.5,0.05
168.2,188.7,177.8,0.05
188.7,211.7,199.5,0.05
211.7,237.5,223.9,0.05
237.5,266.5,251.2,0.05
266.5,299,281.8,0.05
299,335.5,316.2,0.05
335.5,376.5,354.8,0.05
376.5,422.4,398.1,0.05
422.4,473.9,446.7,0.05
473.9,531.8,501.2,0.05
531.8,596.6,562.3,0.05
596.6,669.5,631,0.05
669.5,751.1,707.9,0.05
751.1,842.8,794.3,0.05
842.8,945.6,891.3,0.05
945.6,1129.5,1000,0.1
1129.5,1421.9,1258.9,0.1
1421.9,1790.1,1584.9,0.1
1790.1,2253.6,1995.3,0.1
2253.6,2837.1,2511.9,0.1
2837.1,3487.5,3162.3,0.1
